Hostname,SistemaOperacional,EspacoLivreAntesGB,EspacoLivreDepoisGB,EspacoRecuperadoGB,Data
SRV-0175,Windows Server 2019,39.04,41.33,2.29,2025-02-16
SRV-0176,Windows Server 2022,15.4,16.96,1.56,2025-02-16
SRV-0177,Windows Server 2019,17.8,20.4,2.6,2025-02-16
SRV-0178,Windows Server 2019,23.77,28.19,4.42,2025-02-16
SRV-0179,Windows Server 2019,38.59,41.4,2.81,2025-02-16
SRV-0180,Windows Server 2016,7.15,10.61,3.46,2025-02-16
SRV-0181,Windows Server 2022,16.99,17.75,0.76,2025-02-16
SRV-0182,Windows Server 2019,32.52,34.22,1.7,2025-02-16
SRV-0183,Windows Server 2022,26.18,31.17,4.99,2025-02-16
SRV-0184,Windows Server 2019,8.15,11.9,3.75,2025-02-16
SRV-0185,Windows Server 2016,31.22,31.33,0.11,2025-02-16
SRV-0186,Windows Server 2016,30.42,34.78,4.36,2025-02-16
SRV-0187,Windows Server 2022,41.66,44.94,3.28,2025-02-16
SRV-0188,Windows Server 2016,30.69,31.63,0.94,2025-02-16
SRV-0189,Windows Server 2022,18.32,22.31,3.99,2025-02-16
SRV-0190,Windows Server 2022,42.63,44.54,1.91,2025-02-16
SRV-0191,Windows Server 2019,26.64,31.16,4.52,2025-02-16
SRV-0192,Windows Server 2019,46.67,47.74,1.07,2025-02-16
SRV-0193,Windows Server 2019,12.36,15.89,3.53,2025-02-16
SRV-0194,Windows Server 2019,15.39,19.31,3.92,2025-02-16
SRV-0195,Windows Server 2019,22.85,26.24,3.39,2025-02-16
SRV-0196,Windows Server 2022,27.5,30.47,2.97,2025-02-16
SRV-0197,Windows Server 2019,27.87,32.33,4.46,2025-02-16
SRV-0198,Windows Server 2019,5.09,7.23,2.14,2025-02-16
SRV-0199,Windows Server 2022,44.42,45.54,1.12,2025-02-16
SRV-0200,Windows Server 2022,48.31,49.48,1.17,2025-02-16
SRV-0201,Windows Server 2019,47.21,48.35,1.14,2025-02-16
SRV-0202,Windows Server 2019,9.68,14.14,4.46,2025-02-16
SRV-0203,Windows Server 2022,9.57,10.28,0.71,2025-02-16
SRV-0204,Windows Server 2016,8.64,10.79,2.15,2025-02-16
SRV-0205,Windows Server 2016,41.49,44.08,2.59,2025-02-16
SRV-0206,Windows Server 2019,6.84,10.43,3.59,2025-02-16
SRV-0207,Windows Server 2019,41.03,43.65,2.62,2025-02-16
SRV-0208,Windows Server 2019,27.98,32.35,4.37,2025-02-16
SRV-0209,Windows Server 2016,44.55,48.63,4.08,2025-02-16
SRV-0210,Windows Server 2016,6.77,8.23,1.46,2025-02-16
SRV-0211,Windows Server 2022,33.37,33.55,0.18,2025-02-16
SRV-0212,Windows Server 2022,42.45,44.37,1.92,2025-02-16
SRV-0213,Windows Server 2019,37.1,37.79,0.69,2025-02-16
SRV-0214,Windows Server 2019,27.21,28.4,1.19,2025-02-16
SRV-0215,Windows Server 2022,20.97,21.85,0.88,2025-02-16
SRV-0216,Windows Server 2019,21.71,23.69,1.98,2025-02-16
SRV-0217,Windows Server 2019,36.77,38.15,1.38,2025-02-16
SRV-0218,Windows Server 2022,22.35,25.82,3.47,2025-02-16
SRV-0219,Windows Server 2022,10.53,13.62,3.09,2025-02-16
SRV-0220,Windows Server 2019,5.45,10.08,4.63,2025-02-16
SRV-0221,Windows Server 2019,45.94,48.98,3.04,2025-02-16
SRV-0222,Windows Server 2019,17.84,22.7,4.86,2025-02-16
SRV-0223,Windows Server 2016,8.88,9.64,0.76,2025-02-16
SRV-0224,Windows Server 2022,43.1,43.3,0.2,2025-02-16
SRV-0225,Windows Server 2022,14.74,15.95,1.21,2025-02-16
SRV-0226,Windows Server 2019,20.8,24.85,4.05,2025-02-16
SRV-0227,Windows Server 2019,43.51,45.21,1.7,2025-02-16
SRV-0228,Windows Server 2022,15.41,18.67,3.26,2025-02-16
SRV-0229,Windows Server 2019,10.04,10.14,0.1,2025-02-16
SRV-0230,Windows Server 2016,43.59,44.5,0.91,2025-02-16
SRV-0231,Windows Server 2019,41.37,44.18,2.81,2025-02-16
SRV-0232,Windows Server 2019,7.91,11.32,3.41,2025-02-16
SRV-0233,Windows Server 2019,16.65,21.11,4.46,2025-02-16
SRV-0234,Windows Server 2022,37.23,39.56,2.33,2025-02-16
SRV-0235,Windows Server 2016,28.92,32.39,3.47,2025-02-16
SRV-0236,Windows Server 2016,26.07,30.16,4.09,2025-02-16
SRV-0237,Windows Server 2022,27.06,28.06,1.0,2025-02-16
SRV-0238,Windows Server 2019,39.08,41.35,2.27,2025-02-16
SRV-0239,Windows Server 2019,18.07,21.2,3.13,2025-02-16
SRV-0240,Windows Server 2019,7.2,11.75,4.55,2025-02-16
SRV-0241,Windows Server 2019,47.4,51.72,4.32,2025-02-16
SRV-0242,Windows Server 2022,20.88,22.85,1.97,2025-02-16
SRV-0243,Windows Server 2019,11.11,13.7,2.59,2025-02-16
SRV-0244,Windows Server 2019,10.72,12.95,2.23,2025-02-16
SRV-0245,Windows Server 2019,8.66,12.62,3.96,2025-02-16
SRV-0246,Windows Server 2022,23.36,24.21,0.85,2025-02-16
SRV-0247,Windows Server 2019,26.17,28.64,2.47,2025-02-16
SRV-0248,Windows Server 2019,30.5,35.45,4.95,2025-02-16
SRV-0249,Windows Server 2019,14.26,15.58,1.32,2025-02-16
SRV-0250,Windows Server 2022,16.16,18.23,2.07,2025-02-16
SRV-0251,Windows Server 2022,25.08,29.72,4.64,2025-02-16
SRV-0252,Windows Server 2019,14.02,18.65,4.63,2025-02-16
SRV-0253,Windows Server 2016,49.84,52.0,2.16,2025-02-16
SRV-0254,Windows Server 2019,23.78,27.72,3.94,2025-02-16
SRV-0255,Windows Server 2019,8.78,13.16,4.38,2025-02-16
SRV-0256,Windows Server 2019,22.06,26.27,4.21,2025-02-16
SRV-0257,Windows Server 2016,11.66,16.4,4.74,2025-02-16
SRV-0258,Windows Server 2019,23.11,24.73,1.62,2025-02-16
SRV-0259,Windows Server 2022,34.45,37.82,3.37,2025-02-16
SRV-0260,Windows Server 2019,16.29,20.88,4.59,2025-02-16
SRV-0261,Windows Server 2019,22.74,26.97,4.23,2025-02-16
SRV-0262,Windows Server 2016,48.21,48.9,0.69,2025-02-16
SRV-0263,Windows Server 2019,27.8,29.01,1.21,2025-02-16
SRV-0264,Windows Server 2022,17.81,18.8,0.99,2025-02-16
SRV-0265,Windows Server 2019,25.96,29.0,3.04,2025-02-16
SRV-0266,Windows Server 2016,15.93,16.19,0.26,2025-02-16
SRV-0267,Windows Server 2016,16.68,17.26,0.58,2025-02-16
SRV-0268,Windows Server 2019,33.68,36.43,2.75,2025-02-16
SRV-0269,Windows Server 2019,7.87,8.09,0.22,2025-02-16
SRV-0270,Windows Server 2019,27.16,31.7,4.54,2025-02-16
SRV-0271,Windows Server 2022,42.93,46.25,3.32,2025-02-16
SRV-0272,Windows Server 2016,21.39,24.66,3.27,2025-02-16
SRV-0273,Windows Server 2019,42.22,45.15,2.93,2025-02-16
SRV-0274,Windows Server 2019,7.5,7.97,0.47,2025-02-16
SRV-0275,Windows Server 2019,23.3,26.42,3.12,2025-02-16
SRV-0276,Windows Server 2019,32.76,34.68,1.92,2025-02-16
SRV-0277,Windows Server 2022,29.15,30.44,1.29,2025-02-16
SRV-0278,Windows Server 2022,47.35,51.88,4.53,2025-02-16
SRV-0279,Windows Server 2019,24.15,27.62,3.47,2025-02-16
SRV-0280,Windows Server 2019,20.6,24.8,4.2,2025-02-16
SRV-0281,Windows Server 2019,7.15,10.61,3.46,2025-02-16
SRV-0282,Windows Server 2019,36.23,37.93,1.7,2025-02-16
SRV-0283,Windows Server 2019,13.43,17.62,4.19,2025-02-16
SRV-0284,Windows Server 2019,30.83,34.38,3.55,2025-02-16
SRV-0285,Windows Server 2019,14.16,15.71,1.55,2025-02-16
SRV-0286,Windows Server 2019,22.27,23.81,1.54,2025-02-16
SRV-0287,Windows Server 2019,21.93,22.23,0.3,2025-02-16
SRV-0288,Windows Server 2019,14.01,17.21,3.2,2025-02-16
SRV-0289,Windows Server 2019,24.19,28.57,4.38,2025-02-16
SRV-0290,Windows Server 2022,7.33,10.02,2.69,2025-02-16
SRV-0291,Windows Server 2019,25.64,30.37,4.73,2025-02-16
SRV-0292,Windows Server 2019,32.06,34.36,2.3,2025-02-16
SRV-0293,Windows Server 2016,21.04,21.91,0.87,2025-02-16
SRV-0294,Windows Server 2022,31.87,33.85,1.98,2025-02-16
SRV-0295,Windows Server 2019,20.1,22.58,2.48,2025-02-16
SRV-0296,Windows Server 2022,11.71,12.73,1.02,2025-02-16
SRV-0297,Windows Server 2019,29.74,32.88,3.14,2025-02-16
SRV-0298,Windows Server 2019,21.16,25.5,4.34,2025-02-16
SRV-0299,Windows Server 2019,27.98,32.89,4.91,2025-02-16
SRV-0300,Windows Server 2016,12.45,13.07,0.62,2025-02-16
SRV-0301,Windows Server 2019,28.36,32.74,4.38,2025-02-16
SRV-0302,Windows Server 2022,18.85,23.04,4.19,2025-02-16
SRV-0303,Windows Server 2019,33.39,34.12,0.73,2025-02-16
SRV-0304,Windows Server 2019,43.09,43.38,0.29,2025-02-16
SRV-0305,Windows Server 2022,45.74,46.31,0.57,2025-02-16
SRV-0306,Windows Server 2019,8.19,9.34,1.15,2025-02-16
SRV-0307,Windows Server 2019,26.64,27.53,0.89,2025-02-16
SRV-0308,Windows Server 2019,11.75,13.83,2.08,2025-02-16
SRV-0309,Windows Server 2019,14.45,16.0,1.55,2025-02-16
SRV-0310,Windows Server 2022,7.99,12.16,4.17,2025-02-16
SRV-0311,Windows Server 2022,28.33,32.32,3.99,2025-02-16
SRV-0312,Windows Server 2019,33.88,38.13,4.25,2025-02-16
SRV-0313,Windows Server 2016,36.87,41.47,4.6,2025-02-16
SRV-0314,Windows Server 2019,12.65,15.71,3.06,2025-02-16
SRV-0315,Windows Server 2022,28.5,30.3,1.8,2025-02-16
SRV-0316,Windows Server 2022,13.2,14.76,1.56,2025-02-16
SRV-0317,Windows Server 2022,37.17,41.66,4.49,2025-02-16
SRV-0318,Windows Server 2016,12.09,15.96,3.87,2025-02-16
SRV-0319,Windows Server 2019,22.17,22.46,0.29,2025-02-16
SRV-0320,Windows Server 2016,45.83,50.32,4.49,2025-02-16
SRV-0321,Windows Server 2022,20.63,23.3,2.67,2025-02-16
SRV-0322,Windows Server 2022,36.03,37.19,1.16,2025-02-16
SRV-0323,Windows Server 2019,25.33,27.6,2.27,2025-02-16
SRV-0324,Windows Server 2019,45.6,47.7,2.1,2025-02-16
SRV-0325,Windows Server 2022,35.17,36.49,1.32,2025-02-16
SRV-0326,Windows Server 2022,37.82,39.97,2.15,2025-02-16
SRV-0327,Windows Server 2019,46.7,50.29,3.59,2025-02-16
SRV-0328,Windows Server 2022,45.6,46.99,1.39,2025-02-16
SRV-0329,Windows Server 2022,16.84,19.96,3.12,2025-02-16
SRV-0330,Windows Server 2022,34.16,36.22,2.06,2025-02-16
SRV-0331,Windows Server 2016,16.12,17.25,1.13,2025-02-16
SRV-0332,Windows Server 2016,48.35,50.97,2.62,2025-02-16
SRV-0333,Windows Server 2019,44.74,46.8,2.06,2025-02-16
SRV-0334,Windows Server 2022,37.73,42.46,4.73,2025-02-16
SRV-0335,Windows Server 2022,8.26,10.11,1.85,2025-02-16
SRV-0336,Windows Server 2019,16.08,17.32,1.24,2025-02-16
SRV-0337,Windows Server 2022,44.44,48.29,3.85,2025-02-16
SRV-0338,Windows Server 2016,32.02,33.12,1.1,2025-02-16
SRV-0339,Windows Server 2019,46.34,49.68,3.34,2025-02-16
SRV-0340,Windows Server 2019,15.58,17.03,1.45,2025-02-16
SRV-0341,Windows Server 2022,35.27,36.73,1.46,2025-02-16
SRV-0342,Windows Server 2019,19.96,24.61,4.65,2025-02-16
SRV-0343,Windows Server 2019,29.4,32.3,2.9,2025-02-16
SRV-0344,Windows Server 2016,44.37,46.37,2.0,2025-02-16
SRV-0345,Windows Server 2016,21.89,26.88,4.99,2025-02-16
SRV-0346,Windows Server 2019,16.61,21.02,4.41,2025-02-16
SRV-0347,Windows Server 2019,43.35,45.51,2.16,2025-02-16
SRV-0348,Windows Server 2016,14.77,18.16,3.39,2025-02-16
SRV-0349,Windows Server 2019,48.98,50.87,1.89,2025-02-16
SRV-0350,Windows Server 2022,9.84,13.55,3.71,2025-02-16
SRV-0351,Windows Server 2022,41.68,44.1,2.42,2025-02-16
SRV-0352,Windows Server 2016,16.47,20.44,3.97,2025-02-16
SRV-0353,Windows Server 2019,11.02,11.55,0.53,2025-02-16
SRV-0354,Windows Server 2019,21.1,23.14,2.04,2025-02-16
SRV-0355,Windows Server 2019,24.52,28.4,3.88,2025-02-16
SRV-0356,Windows Server 2022,43.75,45.26,1.51,2025-02-16
SRV-0357,Windows Server 2019,28.29,30.66,2.37,2025-02-16
SRV-0358,Windows Server 2019,23.12,23.81,0.69,2025-02-16
SRV-0359,Windows Server 2016,38.38,40.62,2.24,2025-02-16
SRV-0360,Windows Server 2016,25.85,30.29,4.44,2025-02-16
SRV-0361,Windows Server 2022,46.66,48.05,1.39,2025-02-16
SRV-0362,Windows Server 2019,25.12,28.65,3.53,2025-02-16
SRV-0363,Windows Server 2019,12.35,13.55,1.2,2025-02-16
SRV-0364,Windows Server 2019,8.49,9.36,0.87,2025-02-16
SRV-0365,Windows Server 2016,35.86,38.45,2.59,2025-02-16
SRV-0366,Windows Server 2019,5.93,7.36,1.43,2025-02-16
SRV-0367,Windows Server 2016,11.06,12.62,1.56,2025-02-16
SRV-0368,Windows Server 2022,45.13,45.53,0.4,2025-02-16
SRV-0369,Windows Server 2022,9.84,12.23,2.39,2025-02-16
SRV-0370,Windows Server 2022,33.92,35.58,1.66,2025-02-16
SRV-0371,Windows Server 2016,12.27,13.67,1.4,2025-02-16
SRV-0372,Windows Server 2019,5.4,7.15,1.75,2025-02-16
SRV-0373,Windows Server 2016,41.2,44.22,3.02,2025-02-16
SRV-0374,Windows Server 2019,26.3,27.72,1.42,2025-02-16
SRV-0375,Windows Server 2019,49.14,52.97,3.83,2025-02-16
SRV-0376,Windows Server 2022,30.69,33.15,2.46,2025-02-16
SRV-0377,Windows Server 2019,11.92,13.01,1.09,2025-02-16
SRV-0378,Windows Server 2019,37.14,41.29,4.15,2025-02-16
SRV-0379,Windows Server 2022,7.71,11.96,4.25,2025-02-16
SRV-0380,Windows Server 2016,39.2,43.41,4.21,2025-02-16
SRV-0381,Windows Server 2022,39.28,42.88,3.6,2025-02-16
SRV-0382,Windows Server 2022,19.3,19.71,0.41,2025-02-16
SRV-0383,Windows Server 2016,38.68,42.79,4.11,2025-02-16
SRV-0384,Windows Server 2019,22.52,24.52,2.0,2025-02-16
SRV-0385,Windows Server 2019,10.58,12.58,2.0,2025-02-16
SRV-0386,Windows Server 2019,18.39,18.69,0.3,2025-02-16
SRV-0387,Windows Server 2022,47.24,48.04,0.8,2025-02-16
SRV-0388,Windows Server 2019,21.52,22.26,0.74,2025-02-16
SRV-0389,Windows Server 2022,48.32,50.09,1.77,2025-02-16
SRV-0390,Windows Server 2019,46.73,48.36,1.63,2025-02-16
SRV-0391,Windows Server 2019,28.1,31.12,3.02,2025-02-16
SRV-0392,Windows Server 2019,35.47,40.43,4.96,2025-02-16
SRV-0393,Windows Server 2019,30.24,32.1,1.86,2025-02-16
SRV-0394,Windows Server 2016,26.49,31.27,4.78,2025-02-16
SRV-0395,Windows Server 2016,45.19,47.54,2.35,2025-02-16
SRV-0396,Windows Server 2016,37.15,39.32,2.17,2025-02-16
